время скорость угол_траектории высота угол_тангажа угловая_скорость_тангажа
3.95999 60.3827 0.106432 0.0300184 0.570038 -3.36863e-05
4.00999 60.638 0.100389 0.0305412 0.568337 -3.45456e-05
4.05999 60.9012 0.094693 0.0310341 0.566644 -3.54484e-05
4.10999 61.1727 0.0897976 0.0314998 0.564958 -3.63219e-05
4.15999 61.4526 0.0860707 0.0319432 0.563284 -3.70937e-05
4.20999 61.7412 0.0837846 0.0323706 0.561628 -3.76953e-05
4.25999 62.0388 0.0831119 0.0327898 0.56 -3.80651e-05
4.30999 62.3457 0.0841275 0.0332089 0.558408 -3.81505e-05
4.35999 62.6622 0.0868149 0.0336365 0.556866 -3.79102e-05
4.40998 62.9885 0.0910776 0.0340809 0.555384 -3.73147e-05
4.45998 63.325 0.0967526 0.0345496 0.553974 -3.63473e-05
4.50998 63.6721 0.103627 0.0350493 0.552648 -3.50031e-05
4.55998 64.0299 0.111454 0.0355856 0.551415 -3.32883e-05
4.60998 64.3989 0.11997 0.0361628 0.550283 -3.12189e-05
4.65998 64.7794 0.128913 0.0367837 0.549259 -2.88181e-05
4.70998 65.1718 0.138032 0.03745 0.548349 -2.61145e-05
4.75998 65.5765 0.147103 0.0381621 0.547555 -2.31391e-05
4.80998 65.9938 0.155938 0.0389194 0.54688 -1.99232e-05
4.85998 66.4241 0.16439 0.0397205 0.546324 -1.64951e-05
4.90998 66.8678 0.172356 0.040563 0.545886 -1.28788e-05
4.95998 67.3254 0.179781 0.0414446 0.545565 -9.09096e-06
5.00997 67.7972 0.186653 0.0423623 0.545359 -5.14002e-06
5.05997 68.2837 0.193002 0.0433135 0.545266 -1.02466e-06
5.10997 68.7854 0.198891 0.0442957 0.545283 3.26678e-06
5.15997 69.3028 0.204411 0.0453067 0.545408 7.75647e-06
5.20997 69.8363 0.209677 0.0463448 0.545641 1.24769e-05
5.25997 70.3864 0.214813 0.0474092 0.54598 1.747e-05
5.30997 70.9536 0.219949 0.0484993 0.546426 2.27863e-05
5.35997 71.5385 0.225213 0.0496154 0.546979 2.84836e-05
5.40997 72.1416 0.230726 0.0507584 0.547641 3.46249e-05
5.45997 72.7635 0.236595 0.0519298 0.548416 4.12776e-05
5.50997 73.4047 0.242908 0.0531316 0.549306 4.85113e-05
5.55997 74.066 0.249737 0.0543661 0.550316 5.63963e-05
5.60996 74.7478 0.25713 0.0556361 0.55145 6.50026e-05
5.65996 75.4509 0.265115 0.0569444 0.552715 7.43984e-05
5.70996 76.1758 0.273703 0.0582941 0.554116 8.46497e-05
5.75996 76.9233 0.282883 0.0596881 0.555659 9.58194e-05
5.80996 77.6941 0.292634 0.0611295 0.55735 0.000107968
5.85996 78.4889 0.302922 0.0626209 0.559194 0.000121152
5.90996 79.3085 0.313703 0.0641651 0.561199 0.000135428
5.95996 80.1536 0.324932 0.0657644 0.56337 0.000150849
6.00996 81.0249 0.336563 0.067421 0.565712 0.000167471
6.05996 81.9234 0.34855 0.0691367 0.56823 0.000185347
6.10996 82.8499 0.360854 0.0709134 0.570931 0.000204538
6.15996 83.8053 0.373445 0.0727525 0.573818 0.000225105
6.20995 84.7903 0.386298 0.0746554 0.576898 0.000247118
6.25995 85.8061 0.399401 0.0766234 0.580173 0.000270652
6.30995 86.8535 0.412749 0.0786578 0.58365 0.000295793
6.35995 87.9334 0.426351 0.0807598 0.587332 0.000322636
6.40995 89.047 0.440221 0.0829307 0.591225 0.000351286
6.45995 90.1952 0.454384 0.0851719 0.595334 0.000381862
6.50996 91.3792 0.468871 0.087485 0.599663 0.000414494
6.55996 92.6001 0.483717 0.0898715 0.604219 0.000449325
6.60996 93.8589 0.498962 0.0923335 0.609007 0.000486511
6.65996 95.1569 0.514648 0.094873 0.614032 0.000526222
6.70996 96.4953 0.530816 0.0974922 0.619303 0.000568641
6.75996 97.8754 0.547508 0.100194 0.624825 0.000613963
6.80996 99.2984 0.564763 0.10298 0.630606 0.000662397
6.85996 100.766 0.582616 0.105855 0.636653 0.000714164
6.90996 102.279 0.601101 0.10882 0.642976 0.000769498
